Konum,ResimUrl
Eiffel Kulesi,https://csg.tinkercad.com/things/6SJPyfuQ41T/t725.png?rev=1586875870760000000&s=&v=1
Louvre Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Louvre_Museum_Wikimedia_Commons.jpg/800px-Louvre_Museum_Wikimedia_Commons.jpg
Pont Alexandre III,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/70/ca.jpg
Palais Garnier,https://res.cloudinary.com/opera-national-de-paris/image/upload/w_768/v1563286913/visites/accueil-garnier.jpg
Champs-Élysées,https://parisjetaime.com/data/layout_image/20120_Vue-a%C3%A9rienne-des-Champs-Elys%C3%A9es--630x405--%C2%A9-iStock.jpg
Sacre-Coeur Bazilikası,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/83/34/41/basilica-del-sagrado.jpg?w=1200&h=-1&s=1
National Library of France,https://i.insider.com/63b78a0164499e001852d99e?width=700
Jardin des Tuileries,"https://static.wixstatic.com/media/ea8ea8_6f6c05cc11d24109bfdcee1b59c765e7~mv2.png/v1/fill/w_640,h_394,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/ea8ea8_6f6c05cc11d24109bfdcee1b59c765e7~mv2.png"
Orsay Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pont_Royal_and_Mus%C3%A9e_d%27Orsay%2C_Paris_10_July_2020.jpg/800px-Pont_Royal_and_Mus%C3%A9e_d%27Orsay%2C_Paris_10_July_2020.jpg
Cité des Sciences et de l'Industrie,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/b6/29/04.jpg
Jardin des Plantes,https://media.timeout.com/images/105489382/750/422/image.jpg
Palais-Royal,https://a.cdn-hotels.com/gdcs/production6/d591/f6002486-320e-4456-b7a1-1ca05f1ea8b7.jpg?impolicy=fcrop&w=800&h=533&q=medium
Centre Pompidou,https://images.adsttc.com/media/images/6515/ba44/7316/3253/1be0/7822/newsletter/architecture-classics-centre-georges-pompidou-renzo-piano-building-workshop-plus-richard-rogers_11.jpg?1695922762
Notre-Dame Katedrali,https://pbs.twimg.com/media/D6Xy6QIXkAAKYjM?format=jpg&name=small
Galeries Lafayette,https://haussmann.galerieslafayette.com/wp-content/uploads/2021/01/glasswalk-galeries-lafayette-1024x380.png
Musée de la Vie Romantique,https://museevieromantique.paris.fr/sites/default/files/slide_hp/visuel/mvr2020_hd_c_pierre_antoine_28.jpg
Le Procope,https://media-cdn.tripadvisor.com/media/photo-s/23/5f/4b/9e/terrasse.jpg
Passage des Panoramas,https://parisjetaime.com/data/layout_image/8189_Passage-des-Panoramas--630x405--%C2%A9-OTCP-Marc-Bertrand.jpg?ver=1687768829
Parc des Buttes-Chaumont,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Passerelle_suspendue%2C_Buttes_Chaumont%2C_Paris_14_April_2014.jpg/640px-Passerelle_suspendue%2C_Buttes_Chaumont%2C_Paris_14_April_2014.jpg
Maison de Victor Hugo,https://media.timeout.com/images/105957072/750/422/image.jpg
Kolizeum,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/800px-Colosseo_2020.jpg
Forum Romanum,https://cdn.kastatic.org/ka-perseus-images/a041d8d23d28990616b25f389b7f65f6ba211247.jpg
Aziz Petrus Meydanı,https://media.istockphoto.com/id/483930188/tr/foto%C4%9Fraf/saint-peters-square-rome.jpg?s=612x612&w=0&k=20&c=t8RXBs3UL7MiyRkUOHpQvY_yhY_53RHdBsdAfsRAj6I=
Piazza Navona,https://www.archeoroma.org/wp-content/uploads/2020/02/piazza-navona-roma-558x400.jpg
Pantheon,"https://static.wixstatic.com/media/e41b5c_670b7255302d44c498e3a6bc8c3e580f~mv2.jpg/v1/fill/w_700,h_466,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/e41b5c_670b7255302d44c498e3a6bc8c3e580f~mv2.jpg"
Borghese Galerisi,https://turkishairlinesblog.b-cdn.net/wp-content/uploads/2022/08/borghese-galerisi.webp
İspanyol Merdivenleri,https://media-cdn.tripadvisor.com/media/photo-s/14/72/e7/cb/ispanyol-merdivenleri.jpg
Trevi Çeşmesi,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=604456883219129
Lateran Bazilikası,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/2c/f0/15.jpg
Grand Place,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Grand-Place%2C_Brussels_-_panorama%2C_June_2018.jpg/800px-Grand-Place%2C_Brussels_-_panorama%2C_June_2018.jpg
Piazza Venezia,"https://tourismmedia.italia.it/is/image/mitur/20220426095201-piazza-venezia-roma-lazio-shutterstock-340381193-1?wid=850&hei=500&fit=constrain,1&fmt=webp"
Diocletian Termal Hamamları,https://cdn.ca.emap.com/wp-content/uploads/sites/12/2015/08/diocletian-for-we_636_259783391.jpeg
Campidoglio,https://www.rome.net/f/italia/roma/guia/plaza-campidoglio-m.jpg
Sant'Angelo Köprüsü,"https://img.pixers.pics/pho_wat(s3:700/FO/71/03/40/00/700_FO71034000_29fd18150d164dc081b99dbdd42ae333.jpg,700,464,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,414,jpg)/stickers-river-tiber-ponte-sant-angelo-and-st-peter-s-basilica.jpg.jpg"
Santa Maria della Concezione dei Cappuccini Kilisesi,https://www.shutterstock.com/image-photo/santa-maria-delle-grazie-holy-260nw-2388575099.jpg
Villa Borghese,https://www.archeoroma.org/wp-content/uploads/2020/02/villa-borghese-monuments-fountains-temple-of-aesculapius-558x400.jpg
Sant'Andrea delle Fratte Kilisesi,https://religiana.com/sites/default/files/styles/features_image_medium/public/images/2020-05/2291.jpg?itok=I6RXsBcL
MAXXI - Ulusal 21. Yüzyıl Sanat Müzesi,https://i.pinimg.com/736x/67/77/3c/67773c19f4e10569ba399cd9fbfd545c.jpg
Lateran Sarayı,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lateran_Palace_medieval.jpg/440px-Lateran_Palace_medieval.jpg
Porta Portese Pazarı,https://media.timeout.com/images/105462005/750/422/image.jpg
Buckingham Sarayı,https://www.shutterstock.com/image-photo/buckingham-palace-gate-600w-548371165.jpg
Big Ben,https://assets.dm.rccl.com/is/image/RoyalCaribbeanCruises/royal/content/destinations/british-isles/view-big-ben-westminster-bridge-sunny-day-united-kingdom.jpg?$800x450$
British Museum,https://cdn.londonandpartners.com/asset/british-museum_museum-frontage-image-courtesy-of-the-british-museum_f0b0a5a3c53f8fc1564868c561bd167c.jpg
Tower Bridge Exhibition,https://www.towerbridge.org.uk/sites/default/files/styles/focal_point_4_3_small/public/2022-08/%C2%A9Totman_080520_031.jpg?h=69f2b9d0&itok=LWphawNU
Hyde Park,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hyde_Park_London_from_the_air.jpg/800px-Hyde_Park_London_from_the_air.jpg
Tate Modern,https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/tate-modern-extension-herzog-de-meuron-london-.width-600_V6eqx5i.jpg
London Eye,https://media.tacdn.com/media/attractions-splice-spp-674x446/0f/36/c2/60.jpg
Victoria and Albert Museum,https://cdn.londonandpartners.com/asset/victoria-and-albert-museum_victoria-and-albert-museum-copyright-visitlondoncomjon-reid_78c4c8562049a1d22347a72bdb8c07e6.jpg
Westminster Abbey,https://cdn.londonandpartners.com/asset/westminster-abbey_westminster-abbey-copyright-shutterstock-image-courtesy-of-shutterstock_9ac64ccf26eadb50669d288736e98f65.jpg
Barbican Sanat Merkezi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Barbican-arts-centre-large.jpg/640px-Barbican-arts-centre-large.jpg
Tower of London,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Tower_of_London_from_the_Shard_%288515883950%29.jpg/800px-Tower_of_London_from_the_Shard_%288515883950%29.jpg
Oxford Street,https://a.cdn-hotels.com/gdcs/production45/d1137/7c1039aa-d24a-480f-9ecd-85052c85e0f6.jpg?impolicy=fcrop&w=800&h=533&q=medium
Elizabeth Kulesi,https://i.ytimg.com/vi/iPitmjbkKDE/sddefault.jpg
Shakespeare's Globe Tiyatrosu,https://upload.wikimedia.org/wikipedia/commons/6/6f/Hollar_Long_View_detail.png
Saint Paul Katedrali,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/St_Pauls_aerial_%28cropped%29.jpg/640px-St_Pauls_aerial_%28cropped%29.jpg
Royal Albert Hall,https://d3d00swyhr67nd.cloudfront.net/_source/artuk_stories/RAH-0.jpg
Trafalgar Meydanı,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Nelson%27s_Column_Looking_Towards_Westminster_-_Trafalgar_Square_-_London_-_240404.jpg/640px-Nelson%27s_Column_Looking_Towards_Westminster_-_Trafalgar_Square_-_London_-_240404.jpg
London Bridge,https://www.towerbridge.org.uk/sites/default/files/styles/focal_point_4_3_small/public/2022-09/_A9A8329-2.jpg?h=80387dee&itok=2szwaji4
The Shard,https://a.cdn-hotels.com/gdcs/production179/d1411/c68e9e55-a20c-45de-8e3b-f4a6bd832b36.jpg?impolicy=fcrop&w=800&h=533&q=medium
Admiralty Arch,https://adastrapermundum.files.wordpress.com/2019/04/admiraltyarchrabbit75_ististockgettyimagesplusgettyimages.jpg
Royal Museum of Fine Arts,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/a6/61.jpg
Palais de Justice,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Palais_de_Justice_from_Hilton.jpg/640px-Palais_de_Justice_from_Hilton.jpg
Rue Neuve,https://thebulletin.be/sites/default/files/styles/big_article/public/800px-rue_neuve_en_2020.jpg?itok=QPl8snbh
Parc de Bruxelles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b6/f1/c0/parc-de-bruxelles.jpg?w=1200&h=-1&s=1
St. Michael ve St. Gudula Katedrali,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/83/1a/1b.jpg
Manneken Pis,https://www.introducingbrussels.com/f/belgica/bruselas/guia/manneken-pis-m.jpg
Atomium,https://d1dzh206jt2san.cloudfront.net/posts-images/743X483/1123_1562577062B8t8T.jpg
Brüksel Marolles Pazarı,https://image.jimcdn.com/app/cms/image/transf/dimension=434x10000:format=jpg/path/sa6549607c78f5c11/image/ia6a6cc4273527f7f/version/1445788847/top-things-to-do-in-brussels-city-hall-copyright-sebastien-beun.jpg
Delirium Bira Fabrikası,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=380440224265526
Brüksel Kraliyet Sarayı,https://navicup.com//upload/map-files/images/2173/image_177.png
City 2 Alışveriş Merkezi,https://media-cdn.tripadvisor.com/media/photo-s/21/cc/f3/54/hilton-istanbul-bakirkoy.jpg
UGC De Brouckère Sineması,https://static.boredpanda.com/blog/wp-content/uploads/2015/01/Grand-Eldorado__880.jpg
Dansaert Alışveriş Sokakları,https://st4.depositphotos.com/26724624/28320/i/450/depositphotos_283204318-stock-photo-shoppers-rue-dansaert-main-shopping.jpg
Spirito Brüksel,https://www.yatzer.com/sites/default/files/article_images/2252/Spirito---Martino-Belgium-by--Puresang-team-yatzer_1.jpg
La Monnaie Opera,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Th%C3%A9%C3%A2tre_de_la_Monnaie_1.JPG/640px-Th%C3%A9%C3%A2tre_de_la_Monnaie_1.JPG
Port de Bruxelles Köprüsü,https://www.cadtm.org/local/cache-vignettes/L640xH480/arton22210-7a12a.jpg?1705486401
Mannken Pis Heykeli,https://cdn-us0.puzzlegarage.com/img/puzzle/0/3136_preview.v2.jpg
Forest National Konser Salonu,https://i.ytimg.com/vi/NDp6kTgc--A/sddefault.jpg
Place Royale,https://afar.brightspotcdn.com/dims4/default/29ac932/2147483647/strip/true/crop/728x500+36+0/resize/660x453!/quality/90/?url=https%3A%2F%2Fafar-media-production-web.s3.us-west-2.amazonaws.com%2Fbrightspot%2Ff5%2Fa4%2F9b1d38929de0166b544089e484ec%2Foriginal-086b47fe0c2289d0ca4c69320339d723.jpg
Hotel Amigo,https://static-new.lhw.com/HotelImages/Final/LW0203/lw0203_80212690_720x450.jpg
Ibis Hotel Bruxelles Centre Gare Midi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c3/d0/38/exterior-view.jpg?w=700&h=-1&s=1
Hotel Hubert Grand Place,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/95/7e/45/h-hubert.jpg?w=700&h=-1&s=1
Warwick Brussels,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a2/27/c9/our-elegant-classic-rooms.jpg?w=700&h=-1&s=1
Chez Léon Restoranı,https://media-cdn.tripadvisor.com/media/photo-s/16/dc/cc/ec/leon-gerpinnes-cuisine.jpg
Noordzee Mer du Nord,https://media-cdn.tripadvisor.com/media/photo-s/02/86/80/b3/filename-387-jpg-thumbnail0.jpg
La Roue d'Or Restoranı,https://media-cdn.tripadvisor.com/media/photo-s/1a/ec/df/eb/20200217-185803-largejpg.jpg
Brasserie De La Patinoire,https://www.boisdelacambre.brussels/wp-content/uploads/2018/02/brasserie_patinoire_01-large.jpg
Fritland,https://media-cdn.tripadvisor.com/media/photo-s/1a/1c/eb/54/fritland.jpg
Rådhuspladsen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Copenhagen_City_Hall_on_R%C3%A5dhuspladsen_%28City_Hall_Square%29_2.jpg/800px-Copenhagen_City_Hall_on_R%C3%A5dhuspladsen_%28City_Hall_Square%29_2.jpg
Ny Carlsberg Glyptotek,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Glyptoteket_palme.JPG/640px-Glyptoteket_palme.JPG
Amalienborg Sarayı,https://cdn.getyourguide.com/img/tour/0d1ff1b1858564c5.jpeg/146.jpg
Strøget,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Str%C3%B8get%2C_Copenhagen.jpg/800px-Str%C3%B8get%2C_Copenhagen.jpg
Tivoli Bahçeleri,https://i0.wp.com/whereivebeentravel.com/wp-content/uploads/2019/05/tivoli11.jpg?fit=800%2C534&ssl=1
Kopenhag Katedrali,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/St_Pauls_aerial_%28cropped%29.jpg/640px-St_Pauls_aerial_%28cropped%29.jpg
Kopenhag Sefaleti,https://www.insightturkey.com/images/news/2021/09/22/onder-4.jpg
Küçük Denizkızı Heykeli,https://static.birgun.net/resim/haber-detay-resim/2020/01/13/kopenhag-daki-kucuk-deniz-kizi-heykelinin-uzerine-ozgur-hong-kong-yazildi-674571-5.jpg
Kopenhag Pazarı,https://www.shutterstock.com/image-photo/tirana-albania-june-21-2021-600nw-2091877399.jpg
Carlsberg Bira Fabrikası,https://www.arkitera.com/wp-content/uploads/2020/06/Theodorahus02.jpg
Rosenborg Kalesi,https://cdn.ytur.net/fit-in/697x465/filters:quality(100)/filters:format(webp)/post/rosenborg-kalesi-220405-214853-9516.jpg
Brandenburg Kapısı,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Brandenburger_Tor_abends.jpg/800px-Brandenburger_Tor_abends.jpg
Berlin Katedrali,https://www.berlin.de/binaries/asset/image_assets/6431736/source/1643977486/1000x500/
Altes Müzesi,https://www.museumsinsel-berlin.de/fileadmin/user_upload/gebaeude/altes_museum/am_teaser.jpg
Berlin Hayvanat Bahçesi,https://st3.depositphotos.com/6268724/14662/i/450/depositphotos_146620697-stock-photo-entrance-to-the-berlin-zoological.jpg
Sovyet Savaş Anıtı,https://cdn.getyourguide.com/img/tour/5d6d13a9b46c8.jpeg/97.jpg
Berlin Filarmoni,https://images.adsttc.com/media/images/5037/fabf/28ba/0d59/9b00/0766/newsletter/stringio.jpg?1414206709
Kurfürstendamm,https://www.visitberlin.de/system/files/styles/visitberlin_content_image_medium_visitberlin_mobile_1x/private/image/_MG_8416_DL_PPT_0.jpg?itok=9bCZZNgq
